last_name, first_name,player_id,year,b_home_run,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
India, Jonathan,663697,2021,8,.244,.401,.352,.379,.156,87.4,10.3,30,9.4,
Grisham, Trent,663757,2021,11,.239,.371,.316,.333,.132,89.1,12.3,27.3,6.6,
Lowe, Nathaniel,663993,2021,12,.234,.409,.334,.343,.175,91.6,7.4,31.8,10,
France, Ty,664034,2021,9,.249,.392,.326,.337,.143,88,12,34.1,7.4,
Lowe, Brandon,664040,2021,21,.233,.491,.360,.345,.258,89.8,16.6,35,15.5,
Fletcher, David,664058,2021,2,.273,.321,.278,.300,.048,82.4,7.7,31.7,0,
Straw, Myles,664702,2021,2,.238,.303,.287,.323,.064,86.7,10.3,40.2,1.6,
Bohm, Alec,664761,2021,6,.266,.395,.317,.323,.130,92.3,4.4,33.8,6.7,
Walsh, Jared,665120,2021,22,.257,.444,.326,.312,.187,90.3,7.9,34,13.4,
Tatis Jr., Fernando,665487,2021,30,.282,.625,.413,.367,.342,93.6,12.9,33.3,21.4,
Guerrero Jr., Vladimir,665489,2021,32,.309,.608,.431,.413,.299,95.4,8.4,36,16.7,
Soto, Juan,665742,2021,17,.309,.543,.420,.433,.234,92.8,5.3,27.9,12,
Lux, Gavin,666158,2021,6,.252,.383,.317,.330,.131,89.9,11.1,35.9,4.9,
Bichette, Bo,666182,2021,17,.288,.486,.359,.340,.198,90.9,4.4,33.1,10.6,
Carlson, Dylan,666185,2021,10,.247,.410,.327,.331,.164,88.7,14.9,41.6,7.9,
Garcia, Adolis,666969,2021,22,.234,.454,.320,.282,.220,91.7,13.7,31.1,14,
Gurriel Jr., Lourdes,666971,2021,11,.247,.392,.294,.281,.145,88.1,10.4,31.8,7.5,
Arozarena, Randy,668227,2021,13,.210,.350,.287,.293,.140,90.6,9.2,26.2,7.7,
Reynolds, Bryan,668804,2021,18,.295,.531,.391,.379,.236,89.3,13.4,38.4,10.9,
Rojas, Josh,668942,2021,10,.230,.371,.311,.324,.140,88.4,8.2,41,6.6,
Murphy, Sean,669221,2021,12,.224,.435,.329,.314,.211,89.2,16.7,31.1,13.3,
Edman, Tommy,669242,2021,6,.268,.392,.313,.314,.124,86.8,7.8,29.2,4.1,
Solak, Nick,669256,2021,9,.232,.360,.296,.301,.128,87.5,8.6,32.4,7.6,
Alvarez, Yordan,670541,2021,18,.270,.518,.371,.343,.248,92.3,12.7,37.1,14.9,
